summary: Fold 1/5 	 Epoch 1/5 	 loss=71.2395 	 val_loss=60.7157 	 time=65.89s
summary: Fold 1/5 	 Epoch 2/5 	 loss=59.6023 	 val_loss=58.1683 	 time=65.86s
summary: Fold 1/5 	 Epoch 3/5 	 loss=57.3965 	 val_loss=57.6315 	 time=65.96s
summary: Fold 1/5 	 Epoch 4/5 	 loss=55.7642 	 val_loss=55.1576 	 time=66.25s
summary: Fold 1/5 	 Epoch 5/5 	 loss=54.4547 	 val_loss=54.4542 	 time=65.92s
summary: Fold 2/5 	 Epoch 1/5 	 loss=70.9022 	 val_loss=60.9576 	 time=65.98s
summary: Fold 2/5 	 Epoch 2/5 	 loss=59.7073 	 val_loss=58.0482 	 time=65.92s
summary: Fold 2/5 	 Epoch 3/5 	 loss=57.4654 	 val_loss=56.7026 	 time=66.31s
summary: Fold 2/5 	 Epoch 4/5 	 loss=55.8420 	 val_loss=55.2745 	 time=66.23s
summary: Fold 2/5 	 Epoch 5/5 	 loss=54.5723 	 val_loss=53.9481 	 time=65.49s
summary: Fold 3/5 	 Epoch 1/5 	 loss=70.5737 	 val_loss=61.1711 	 time=66.21s
summary: Fold 3/5 	 Epoch 2/5 	 loss=59.5135 	 val_loss=59.8035 	 time=66.43s
summary: Fold 3/5 	 Epoch 3/5 	 loss=57.2143 	 val_loss=57.0643 	 time=66.58s
summary: Fold 3/5 	 Epoch 4/5 	 loss=55.6422 	 val_loss=55.8129 	 time=66.20s
summary: Fold 3/5 	 Epoch 5/5 	 loss=54.4169 	 val_loss=54.6370 	 time=66.45s
summary: Fold 4/5 	 Epoch 1/5 	 loss=70.8251 	 val_loss=61.3950 	 time=66.02s
summary: Fold 4/5 	 Epoch 2/5 	 loss=59.4175 	 val_loss=58.2577 	 time=65.97s
summary: Fold 4/5 	 Epoch 3/5 	 loss=57.2476 	 val_loss=57.2150 	 time=65.81s
summary: Fold 4/5 	 Epoch 4/5 	 loss=55.6468 	 val_loss=55.7816 	 time=65.87s
summary: Fold 4/5 	 Epoch 5/5 	 loss=54.4016 	 val_loss=54.8312 	 time=65.71s
summary: Fold 5/5 	 Epoch 1/5 	 loss=70.3385 	 val_loss=60.9428 	 time=66.08s
summary: Fold 5/5 	 Epoch 2/5 	 loss=59.4649 	 val_loss=58.3110 	 time=66.24s
summary: Fold 5/5 	 Epoch 3/5 	 loss=57.3033 	 val_loss=56.7013 	 time=66.00s
summary: Fold 5/5 	 Epoch 4/5 	 loss=55.6924 	 val_loss=55.6782 	 time=65.96s
summary: Fold 5/5 	 Epoch 5/5 	 loss=54.3931 	 val_loss=54.7040 	 time=65.95s
