summary: Fold 1/5 	 Epoch 1/8 	 loss=71.4155 	 val_loss=60.2290 	 time=64.91s
summary: Fold 1/5 	 Epoch 2/8 	 loss=59.5018 	 val_loss=58.2310 	 time=65.24s
summary: Fold 1/5 	 Epoch 3/8 	 loss=57.2406 	 val_loss=56.6753 	 time=65.06s
summary: Fold 1/5 	 Epoch 4/8 	 loss=55.5197 	 val_loss=54.8906 	 time=64.94s
summary: Fold 1/5 	 Epoch 5/8 	 loss=54.1547 	 val_loss=54.6375 	 time=65.36s
summary: Fold 1/5 	 Epoch 6/8 	 loss=52.8987 	 val_loss=53.6725 	 time=65.03s
summary: Fold 1/5 	 Epoch 7/8 	 loss=51.8794 	 val_loss=52.5282 	 time=65.18s
summary: Fold 1/5 	 Epoch 8/8 	 loss=50.9009 	 val_loss=52.3465 	 time=65.06s
summary: Fold 2/5 	 Epoch 1/8 	 loss=71.4161 	 val_loss=61.2668 	 time=65.51s
summary: Fold 2/5 	 Epoch 2/8 	 loss=59.3900 	 val_loss=59.0128 	 time=64.92s
summary: Fold 2/5 	 Epoch 3/8 	 loss=57.1335 	 val_loss=56.4697 	 time=65.29s
summary: Fold 2/5 	 Epoch 4/8 	 loss=55.4250 	 val_loss=55.5968 	 time=65.13s
summary: Fold 2/5 	 Epoch 5/8 	 loss=54.0330 	 val_loss=54.7089 	 time=65.20s
summary: Fold 2/5 	 Epoch 6/8 	 loss=52.8171 	 val_loss=53.6927 	 time=65.28s
summary: Fold 2/5 	 Epoch 7/8 	 loss=51.6714 	 val_loss=52.9907 	 time=65.13s
summary: Fold 2/5 	 Epoch 8/8 	 loss=50.8242 	 val_loss=52.3823 	 time=65.17s
summary: Fold 3/5 	 Epoch 1/8 	 loss=71.5082 	 val_loss=60.7913 	 time=65.70s
summary: Fold 3/5 	 Epoch 2/8 	 loss=59.4385 	 val_loss=58.2573 	 time=65.73s
summary: Fold 3/5 	 Epoch 3/8 	 loss=57.2328 	 val_loss=56.9991 	 time=66.00s
summary: Fold 3/5 	 Epoch 4/8 	 loss=55.5525 	 val_loss=55.4851 	 time=65.69s
summary: Fold 3/5 	 Epoch 5/8 	 loss=54.2222 	 val_loss=54.5919 	 time=65.67s
summary: Fold 3/5 	 Epoch 6/8 	 loss=52.9616 	 val_loss=53.7525 	 time=65.54s
summary: Fold 3/5 	 Epoch 7/8 	 loss=51.8415 	 val_loss=53.1205 	 time=65.71s
summary: Fold 3/5 	 Epoch 8/8 	 loss=50.8475 	 val_loss=52.6517 	 time=65.93s
summary: Fold 4/5 	 Epoch 1/8 	 loss=71.0535 	 val_loss=61.1780 	 time=65.27s
summary: Fold 4/5 	 Epoch 2/8 	 loss=59.1720 	 val_loss=58.7473 	 time=65.19s
summary: Fold 4/5 	 Epoch 3/8 	 loss=56.8936 	 val_loss=57.2233 	 time=65.30s
summary: Fold 4/5 	 Epoch 4/8 	 loss=55.1923 	 val_loss=55.9714 	 time=65.32s
summary: Fold 4/5 	 Epoch 5/8 	 loss=53.8507 	 val_loss=55.6125 	 time=64.35s
summary: Fold 4/5 	 Epoch 6/8 	 loss=52.6545 	 val_loss=54.3093 	 time=63.88s
summary: Fold 4/5 	 Epoch 7/8 	 loss=51.6205 	 val_loss=53.7705 	 time=63.64s
summary: Fold 4/5 	 Epoch 8/8 	 loss=50.6852 	 val_loss=53.2040 	 time=63.58s
summary: Fold 5/5 	 Epoch 1/8 	 loss=71.3188 	 val_loss=60.0810 	 time=63.63s
summary: Fold 5/5 	 Epoch 2/8 	 loss=59.5805 	 val_loss=57.8108 	 time=63.69s
summary: Fold 5/5 	 Epoch 3/8 	 loss=57.3564 	 val_loss=56.2368 	 time=63.57s
summary: Fold 5/5 	 Epoch 4/8 	 loss=55.6537 	 val_loss=54.6943 	 time=63.55s
summary: Fold 5/5 	 Epoch 5/8 	 loss=54.2557 	 val_loss=54.1576 	 time=63.69s
summary: Fold 5/5 	 Epoch 6/8 	 loss=53.0846 	 val_loss=53.6135 	 time=63.64s
summary: Fold 5/5 	 Epoch 7/8 	 loss=51.9768 	 val_loss=52.3776 	 time=63.78s
summary: Fold 5/5 	 Epoch 8/8 	 loss=51.0373 	 val_loss=52.1801 	 time=63.65s
